DATE,CSUSHPISA,MORTGAGE30US,UMCSENT,INTDSRUSM193N,MSPUS,GDP
01-01-2003,129.321,5.840769231,79.96666667,2.25,186000,11174.129
01-04-2003,131.756,5.506923077,89.26666667,2.166666667,191800,11312.766
01-07-2003,135.013,6.033846154,89.3,2,191900,11566.669
01-10-2003,138.8356667,5.919285714,91.96666667,2,198800,11772.234
01-01-2004,143.2986667,5.5975,98,2,212700,11923.447
01-04-2004,148.209,6.106153846,93.33333333,2.083333333,217600,12112.815
01-07-2004,152.7166667,5.894285714,95.6,2.5,213500,12305.307
01-10-2004,157.5353333,5.736153846,93.86666667,3,228800,12527.214
01-01-2005,163.4813333,5.768461538,94.06666667,3.5,232500,12767.286
01-04-2005,169.3473333,5.708461538,90.2,4,233700,12922.656
01-07-2005,174.58,5.763846154,87.5,4.5,236400,13142.642
01-10-2005,179.5393333,6.226153846,82.43333333,5,243600,13324.204
01-01-2006,183.3243333,6.246923077,88.93333333,5.583333333,247700,13599.16
01-04-2006,183.9973333,6.602307692,83.8,6,246300,13753.424
01-07-2006,182.8193333,6.56,84.03333333,6.25,235600,13870.188
01-10-2006,183.6493333,6.243846154,92.46666667,6.25,245400,14039.56
01-01-2007,184.422,6.214615385,92.2,6.25,257400,14215.651
01-04-2007,181.6213333,6.358461538,86.9,6.25,242200,14402.082
01-07-2007,178.2613333,6.551538462,85.73333333,5.75,241800,14564.117
01-10-2007,175.37,6.224615385,77.5,4.916666667,238400,14715.058
01-01-2008,171.5756667,5.872307692,72.9,3.166666667,233900,14706.538
01-04-2008,166.6723333,6.086923077,59.6,2.25,235300,14865.701
01-07-2008,161.9543333,6.322307692,64.83333333,2.25,226500,14898.999
01-10-2008,156.0286667,5.841428571,57.66666667,1,222500,14608.208
01-01-2009,150.06,5.06,58.26666667,0.5,208400,14430.901
01-04-2009,147.9113333,5.012307692,68.2,0.5,220900,14381.236
01-07-2009,148.237,5.162307692,68.4,0.5,214300,14448.882
01-10-2009,147.97,4.922142857,70.16666667,0.5,219000,14651.248
01-01-2010,146.295,4.995833333,73.86666667,0.666666667,222900,14764.611
01-04-2010,146.1713333,4.922307692,73.93333333,0.75,219500,14980.193
01-07-2010,143.973,4.447142857,68.3,0.75,224100,15141.605
01-10-2010,142.254,4.436153846,71.26666667,0.75,224300,15309.471
01-01-2011,140.618,4.846923077,73.06666667,0.75,226900,15351.444
01-04-2011,139.9243333,4.650769231,71.86666667,0.75,228100,15557.535
01-07-2011,139.2346667,4.291538462,59.66666667,0.75,223500,15647.681
01-10-2011,137.2596667,4.002307692,64.8,0.75,221100,15842.267
01-01-2012,137.0143333,3.922307692,75.5,0.75,238400,16068.824
01-04-2012,140.1133333,3.794615385,76.3,0.75,238700,16207.13
01-07-2012,142.2863333,3.553846154,74.96666667,0.75,248800,16319.54
01-10-2012,144.5626667,3.359230769,79.4,0.75,251700,16420.386
01-01-2013,148.191,3.496923077,76.66666667,0.75,258400,16629.05
01-04-2013,152.8543333,3.672307692,81.66666667,0.75,268100,16699.551
01-07-2013,156.9313333,4.44,81.56666667,0.75,264800,16911.068
01-10-2013,160.1023333,4.293076923,76.93333333,0.75,273600,17133.114
01-01-2014,162.5143333,4.364615385,80.93333333,0.75,275200,17144.281
01-04-2014,163.705,4.227692308,82.83333333,0.75,288000,17462.703
01-07-2014,165.2326667,4.135384615,82.96666667,0.75,281000,17743.227
01-10-2014,167.3446667,3.963571429,89.76666667,0.75,298900,17852.54
01-01-2015,169.1906667,3.716666667,95.5,0.75,289200,17991.348
01-04-2015,170.8803333,3.819230769,94.23333333,0.75,289100,18193.707
01-07-2015,172.9643333,3.954615385,90.73333333,0.75,295800,18306.96
01-10-2015,175.695,3.897857143,91.3,0.833333333,302500,18332.079
01-01-2016,177.7003333,3.738461538,91.56666667,1,299800,18425.306
01-04-2016,179.422,3.589230769,92.4,1,306000,18611.617
01-07-2016,181.8356667,3.446153846,90.33333333,1,303800,18775.459
01-10-2016,184.747,3.842307692,93.06666667,1.083333333,310900,18968.041
01-01-2017,187.3716667,4.173076923,97.23333333,1.333333333,313100,19148.194
01-04-2017,189.6213333,3.98,96.36666667,1.583333333,318200,19304.506
01-07-2017,192.6373333,3.883846154,95.1,1.75,320500,19561.896
01-10-2017,195.9763333,3.922307692,98.36666667,1.833333333,337900,19894.75
01-01-2018,199.1546667,4.282307692,98.93333333,2.083333333,331800,20155.486
01-04-2018,201.4513333,4.544615385,98.33333333,2.333333333,315600,20470.197
01-07-2018,203.6866667,4.566923077,98.06666667,2.583333333,330900,20687.278
01-10-2018,205.6396667,4.784615385,98.13333333,2.833333333,322800,20819.269
01-01-2019,206.772,4.373846154,94.46666667,3,313000,21013.085
01-04-2019,208.1416667,4.010769231,98.46666667,3,322500,21272.448
01-07-2019,210.162,3.658461538,93.8,2.75,318400,21531.839
01-10-2019,212.806,3.7,97.2,2.25,327100,21706.532
01-01-2020,215.638,3.521538462,96.63333333,1.583333333,329000,21538.032
01-04-2020,217.239,3.239230769,74.06666667,0.25,322600,19636.731
01-07-2020,222.6413333,2.952307692,75.66666667,0.25,337500,21362.428
01-10-2020,233.09,2.760714286,79.8,0.25,358700,21704.706
01-01-2021,242.267,2.875833333,80.23333333,0.25,369800,22313.85
01-04-2021,253.814,3.003846154,85.56666667,0.25,382600,23046.934
01-07-2021,266.831,2.872142857,74.76666667,,411200,23550.42
01-10-2021,277.317,3.079230769,69.9,,423600,24349.121
01-01-2022,290.868,3.822307692,63.13333333,,433100,24740.48
01-04-2022,303.4226667,5.266153846,57.86666667,,449300,25248.476
01-07-2022,301.7263333,5.623076923,56.1,,468000,25723.941
01-10-2022,297.8966667,6.664615385,58.8,,479500,26137.992
01-01-2023,,6.372307692,64.63333333,,436800,26465.865
